country,k_thr,tau,total_segments,rf_deprived_segments,mn_deprived_segments,rf_deprived_pop,mn_deprived_pop,total_pop
republic_of_congo,5,0.1,3955,2916,10,2402355.444241871,22350.805604995003,4109466.966085707
rwanda,5,0.1,1270,334,155,478248.34593383403,368652.952806812,1649343.029407573
senegal,5,0.1,8269,2899,37,2484589.811036333,45560.39443257,8346712.434245584
sierra_leone,5,0.1,1334,345,143,913219.462735249,1207461.517445927,3190790.4146762565
somalia,5,0.1,7648,5285,94,5402030.855397178,337759.22971549205,8295293.609712728
south_africa,5,0.1,27136,12318,764,12148012.599995438,1182472.778793154,30289706.70029247
south_sudan,5,0.1,833,499,97,569345.035959706,172820.096044571,984642.965601156
sudan,5,0.1,16340,10460,112,8821698.496891912,346986.144749227,15147905.022114929
tanzania,5,0.1,9739,3481,968,6658691.269839512,2914263.2315901453,14983633.215272397
togo,5,0.1,3041,645,85,621007.888738542,204567.474313805,3367055.130280057
uganda,5,0.1,4645,1612,529,2156964.525660353,1127080.6384914399,6399543.600518564
zambia,5,0.1,6357,1677,270,1833037.626412265,616456.3672371029,7472185.76578634
zimbabwe,5,0.1,2768,282,43,260893.761653757,59496.007578453,3101648.1956995917
angola,5,0.2,16222,7429,1038,9490744.786406256,3145775.2171986233,20650829.648216836
cameroon,5,0.2,10141,3222,488,4300646.212809186,1150264.495380277,15198621.01101642
benin,5,0.2,4612,498,111,398578.99227366,150320.48261203102,4673285.7469121665
burkina_faso,5,0.2,5322,3312,88,3014083.1182127493,102167.722663376,5103500.920221765
botswana,5,0.2,507,27,0,23446.048594085,0.0,549454.002392059
burundi,5,0.2,1348,582,45,624197.862321557,118296.53035739099,1714038.352422793
central_african_republic,5,0.2,868,491,175,989593.631405213,720704.3267626651,1601841.313697086
chad,5,0.2,3716,712,72,619282.656271341,172867.256147441,3661678.152726385
ghana,5,0.2,12130,1144,506,1518667.515258712,1126717.751242713,15943320.202505251
gambia,5,0.2,1505,40,1,27782.571619514998,547.957329707,1446656.488261111
comoros,5,0.2,220,138,28,156892.55495845797,95590.25981515,394719.234936952
djibouti,5,0.2,301,155,6,166737.79081241498,11305.495280451,420632.270088937
cote_d_ivoire,5,0.2,8162,2167,192,2345349.917980085,663061.8080076181,10639014.760486715
gabon,5,0.2,356,42,73,73910.783703347,281269.329590088,745404.3793945231
democratic_republic_of_the_congo,5,0.2,31029,15533,1118,18324953.302096408,5697582.5872840965,43591738.808713526
equatorial_guinea,5,0.2,491,72,69,241243.395520473,449894.2197271811,1182009.9697834991
ethiopia,5,0.2,12094,4702,203,5186117.37230921,528398.270481853,14999047.86558796
eritrea,5,0.2,243,49,0,47789.151316098,0.0,253661.679412561
